Price,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,
2015-01-01,127.9036865234375,131.45269268721046,127.24756263800333,130.2199916323734,293920
2015-01-02,126.81511688232422,129.03697913458254,125.95519628796026,128.41067770926017,435600
2015-01-05,125.13008880615234,127.64520766178181,124.52367402201371,126.05959007720519,315660
2015-01-06,122.23719024658203,124.57834993685714,120.84541849854551,124.26519920779882,377240
2015-01-07,122.13279724121094,123.35556240904573,120.10975639746577,122.30179607179869,731140
2015-01-08,128.2218017578125,129.0270378395512,122.2719908650655,122.27695874270792,872680
2015-01-09,127.16802978515625,129.1761596097611,126.80020965729227,128.63436517282122,327840
2015-01-12,126.02476501464844,127.85892777350831,124.76223418913713,124.76223418913713,196780
2015-01-13,127.88877868652344,130.03110954121814,126.25344439174135,126.75050519643325,580420
2015-01-14,124.6827163696289,128.11243250145608,123.09212349087639,127.24755165292399,2587050
2015-01-15,128.14724731445312,129.03699041934942,126.4522681174877,128.72383967930205,1368270
2015-01-16,126.01982116699219,129.53404458409153,124.7622579781987,129.03698379533375,810480
2015-01-19,125.05551147460938,127.8639016603795,124.3645973398978,126.5417258380666,325300
2015-01-20,131.4178924560547,133.70933511874833,125.25930278782371,125.25930278782371,1360140
2015-01-21,128.505126953125,132.85440891710994,128.14226711125667,131.6614660408067,1004960
2015-01-22,129.05685424804688,131.02521047670265,127.30719078338436,128.09255522556978,378310
2015-01-23,130.4486083984375,132.11872503185097,128.8182499457341,129.47437369561297,255020
2015-01-27,136.73147583007812,138.87878208960493,130.03110606992254,130.92580942684626,1055220
2015-01-28,144.18736267089844,149.01879333156538,137.19373007816932,137.258350396891,2744860
2015-01-29,145.1665802001953,146.1408301532186,141.66230811960926,144.47567367308244,1059650
2015-01-30,143.90406799316406,147.1250120659589,138.97819395530541,144.94292317940358,726130
2015-02-02,150.04275512695312,151.36493858113255,142.05002470626752,143.45173970307698,2714020
2015-02-03,145.9817657470703,152.26958089347414,144.69438028777415,150.01292095140917,667360
2015-02-04,146.27003479003906,150.11231914831615,144.39612156485376,146.43407330234047,501620
2015-02-05,146.75221252441406,150.00299411106144,145.17156296331677,146.34463423362192,216290
2015-02-06,146.03646850585938,149.98313278308171,145.39029548246342,146.83176888248803,308180
2015-02-09,144.10287475585938,146.53349378199223,142.51227438863472,144.5452509075061,181200
2015-02-10,142.80551147460938,146.2302664615351,139.43048075308036,143.16339573132208,330010
2015-02-11,140.20094299316406,144.14760625377735,139.97229931334783,143.25786333334875,182820
2015-02-12,149.02378845214844,150.21177097530187,140.6632226482743,140.6681981100905,653460
2015-02-13,150.19686889648438,153.0947266916036,149.02379751832225,149.02379751832225,728530
2015-02-16,147.4779510498047,153.69617157987383,144.64469831415846,150.12727854040222,974540
2015-02-18,147.53758239746094,149.61529278963886,144.64468505576383,146.03644915361244,485050
2015-02-19,145.8625030517578,148.82000581622682,141.12551406486443,148.02470547392448,236600
2015-02-20,146.27003479003906,147.72145858997757,145.34053378395615,146.33465510281917,138300
2015-02-23,142.7210693359375,149.11823937820793,140.86702709879543,146.7323536157933,4213950
2015-02-24,142.14447021484375,145.93704634931396,140.4693778327252,143.93885232866964,310620
2015-02-25,142.2836456298828,144.94292378726388,141.77664910458094,142.6514657461357,220350
2015-02-26,139.14222717285156,143.90903846119778,138.28232169046117,142.77078014219535,392490
2015-02-27,141.37901306152344,142.14946647577432,139.50012366676145,139.56971946650123,518850
2015-03-02,144.2868194580078,146.73236545554045,140.32026850961583,140.36997762723792,705830
2015-03-03,147.63201904296875,150.09246066787006,144.14761831173817,144.74409728273324,2472640
2015-03-04,146.15573120117188,150.44039197076438,144.9627885653896,148.62114800433372,933390
2015-03-05,152.01113891601562,156.4697749404127,146.414229401644,146.62300161399386,3075300
2015-03-09,146.2054443359375,151.99619856630724,145.36541052357114,151.8023376084893,1599670
2015-03-10,144.8534393310547,146.73232821520511,143.26781444662396,146.63291000519308,922780
2015-03-11,144.97775268554688,149.11826311702828,144.14765434646066,144.94295478357031,398460
2015-03-12,147.09024047851562,148.29809459727392,146.4341165736005,146.4341165736005,2048440
2015-03-13,149.2126922607422,155.48062206644056,145.7282909769014,151.60355364735835,2585500
2015-03-16,144.36135864257812,149.58547229259685,142.2786727616045,149.58547229259685,1027980
2015-03-17,146.1060333251953,148.62115942501453,144.34643407997544,144.88326816723767,1134190
2015-03-18,142.63157653808594,146.57326432050743,140.76759887903665,146.57326432050743,1227020
2015-03-19,140.1462860107422,144.9429192650992,139.1919226862599,143.15349751237642,1059700
2015-03-20,137.16885375976562,145.79783459668158,133.21225520331026,140.91669533633754,7859730
2015-03-23,132.7450714111328,139.5945694217877,130.5928045722232,137.68585754898115,553620
2015-03-24,133.3464813232422,136.44317524225397,130.36411683707271,133.21228038223703,600420
2015-03-25,136.6768035888672,137.9989870869135,133.41111061638574,134.90229295971886,1528320
2015-03-26,137.10923767089844,140.17610922225825,136.69668391614482,137.1887692124719,646920
2015-03-27,134.83766174316406,138.6998334087502,134.20142460148085,138.07353202101407,697550
2015-03-30,139.12232971191406,140.17112053117964,135.29993163000123,135.7870414186656,529100
2015-03-31,140.6234588623047,144.04819954819794,138.68492496754527,139.9126656290746,985290
2015-04-01,141.9158172607422,143.89908476662941,138.7793651931729,140.36995046565056,448110
2015-04-06,141.82135009765625,143.73999694983337,140.18104083039577,143.73999694983337,295280
2015-04-07,142.2786865234375,145.63882257413817,141.1801863411287,142.557039373533,420600
2015-04-08,144.70433044433594,145.1417463535519,141.06584192941162,143.09385838685088,445590
2015-04-09,145.60400390625,146.1308870951385,143.68535666540896,144.94291977384515,443770
2015-04-10,144.62977600097656,145.80780762445735,142.1593833135543,145.80780762445735,243060
2015-04-13,142.9944305419922,145.59903914366933,142.15937213645753,145.59903914366933,168320
2015-04-15,141.33424377441406,145.355463192293,140.27550201023968,143.05406962398706,233200
2015-04-16,142.61666870117188,143.6505483261441,138.1828803967753,141.26466293369165,242640
2015-04-17,141.37901306152344,143.1833463630594,140.27057708101233,142.90499350228674,210050
2015-04-20,133.10293579101562,141.7617413004644,125.11517295660789,141.7617413004644,535080
2015-04-21,133.76400756835938,138.9781850111748,132.41697721928594,134.20639890517288,420840
2015-04-22,131.68133544921875,135.6627815870775,130.2796205480869,134.20639728673262,284090
2015-04-23,135.35958862304688,135.69758629631679,131.7211002510035,132.6158035435628,186120
2015-04-24,135.22535705566406,137.03964074175306,130.72696379866855,134.35550083266912,208550
2015-04-27,131.82546997070312,136.53263561967822,130.52814876610344,134.604037589268,144050
2015-04-28,131.7658233642578,132.4965032234311,128.54983992545974,132.1087964717732,348190
2015-04-29,138.10333251953125,140.17110669388762,131.35325540349365,132.22807185369578,310230
2015-04-30,142.64651489257812,145.14175466603203,136.69172100396852,137.88466389891204,1146680
2015-05-04,144.25698852539062,145.82272703916948,141.16526968813332,142.17430252315452,530200
2015-05-05,143.5213165283203,147.22940065610857,142.68128264479134,145.93703966844166,386410
2015-05-06,143.03916931152344,144.86836443513397,139.67407343032036,143.55114128708448,298140
2015-05-07,137.1638946533203,143.74497291164022,134.87741259252635,143.74497291164022,253110
2015-05-08,141.66729736328125,143.5909201494139,137.2881931173306,137.2881931173306,192070
2015-05-11,143.3672332763672,145.43998334758328,141.77167246285416,141.77167246285416,410950
2015-05-12,141.86610412597656,144.11281315451149,139.86792546131412,141.65237165362774,243300
2015-05-13,142.46258544921875,143.59092314842843,141.2646822965705,143.0540890016357,110850
2015-05-14,143.3672332763672,145.04232563283074,140.17113618756582,142.56697272326844,829440
2015-05-15,143.57601928710938,144.54527877382753,141.50824447871483,142.15939293211426,254670
2015-05-18,145.09703063964844,145.51953538459873,143.21316582149169,144.14764262140253,263620
2015-05-19,145.76304626464844,146.43904151688733,143.65053834776947,145.3355813555718,173240
2015-05-20,144.1824188232422,147.6220708003824,141.44360917147588,146.9560111998274,577790
2015-05-21,145.19642639160156,145.73823602503282,143.153513737142,144.54527794194956,472550
2015-05-22,146.26010131835938,147.22937568699973,145.6536866976336,145.87737006550068,159890
2015-05-25,147.27908325195312,148.4223319937544,144.6446675396569,144.6446675396569,197680
