Price,Close,High,Low,Open,Volume
Ticker,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS
Date,,,,,
2015-01-01,586.8892211914062,592.8664162537426,585.1147084522421,585.1147084522421,596787
2015-01-02,588.5235595703125,595.4346959976948,587.7763603861246,591.1852714032749,688999
2015-01-05,591.185302734375,595.855012866558,584.6477085493187,584.6477085493187,1282895
2015-01-06,573.7672119140625,590.2513100677462,570.1715582220871,589.3173681214365,1615490
2015-01-07,571.5257568359375,576.9892941470432,564.5678782835632,573.7671831929058,813936
2015-01-08,577.3629150390625,580.4449120208155,571.5724636472069,574.374289449399,1273014
2015-01-09,590.578125,599.123716003074,579.9779074636149,582.7797331035357,2151608
2015-01-12,589.0838012695312,594.9209376277312,584.6008919470906,589.223915343442,1094136
2015-01-13,594.3606567382812,602.6727055690519,586.702321644532,589.3173476024904,1261489
2015-01-14,589.6909790039062,599.4506269272723,587.4961811860351,596.6021153370887,1033679
2015-01-15,595.901611328125,597.7228094137153,590.8116166285536,596.6954961363512,1229115
2015-01-16,604.5873413085938,607.0623104525266,596.7889482756377,599.3106031197152,1245788
2015-01-19,614.3470458984375,617.8493284537303,606.128367569343,608.9301936135773,1536486
2015-01-20,618.082763671875,622.4256164884341,613.9267106437268,618.2228777640062,1537603
2015-01-21,600.9449462890625,619.9973274600356,598.6567771597903,619.2034996208127,1541897
2015-01-22,611.545166015625,613.7866494549977,598.9836356225277,600.9916335787696,1642285
2015-01-23,632.8858032226562,641.1511669139658,611.3583950601271,616.3083331385734,2255956
2015-01-27,660.3435668945312,663.0987067245369,637.8822770321954,641.6180443940237,2067849
2015-01-28,657.0748901367188,660.2970014738487,646.8015280204354,660.2036300741103,1379608
2015-01-29,651.3778076171875,664.8732798470505,641.1511321279623,653.7126624319288,2245977
2015-01-30,649.7901611328125,656.3744409804267,645.5407363377777,652.8254727011656,1061983
2015-02-02,649.5565795898438,659.8299403022639,645.5873265873178,651.891434297212,878717
2015-02-03,632.6522827148438,653.5258619345891,627.6556592147624,649.2297518814589,772717
2015-02-04,633.212646484375,642.5520660490413,622.5656853793381,635.4541299812122,1326140
2015-02-05,618.6431274414062,631.8583709125267,613.8333039322156,631.8583709125267,913021
2015-02-06,611.7786865234375,637.6022052374359,602.9996660570893,627.6090145866618,1572398
2015-02-09,588.0564575195312,612.665800325818,584.8810327043348,607.0621497130819,1213162
2015-02-10,597.8629760742188,600.3378880976163,582.2661337438443,588.3834422587325,1834808
2015-02-11,594.407470703125,598.470096103494,589.364160479016,597.8630679305106,1671824
