Price,Close,High,Low,Open,Volume
Ticker,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS
Date,,,,,
2017-11-17,336.6984558105469,360.5389668994097,299.96060389734083,302.8918150103442,168836552
2017-11-20,347.20196533203125,350.6705532522589,336.1122105607222,336.7961717535267,14650240
2017-11-21,376.4652404785156,409.2948142615191,344.4173409628601,348.2279098354801,43078194
2017-11-22,386.13824462890625,398.64473416580216,378.0285421951336,379.10332562826284,15227642
2017-11-23,366.2548522949219,383.01160400664816,362.5908382259807,381.05746316987955,12300150
2017-11-24,362.2000427246094,374.21799782960505,357.70551250512744,367.42734599407885,9463228
2017-11-27,371.6286926269531,375.68352838720443,362.4930794061192,362.4930794061192,3832223
2017-11-28,373.436279296875,377.5399566520049,369.43028511715215,374.21792360704666,2409447
2017-11-29,369.1371765136719,375.8789859694154,367.4761747634189,373.63170621156036,1657909
2017-11-30,362.9816589355469,371.0913314476238,362.29769771836425,371.0913314476238,2536960
2017-12-01,364.2030029296875,370.84706992924333,359.56191838531186,365.1312317656919,1904781
2017-12-04,354.48114013671875,366.30369830527945,353.6994957197161,365.4731824760746,1323453
2017-12-05,354.0414733886719,357.510061459774,348.96069526695027,352.7224223553573,1806017
2017-12-06,359.9039001464844,363.1770920623031,350.3285920074054,352.6247134897155,3331373
2017-12-07,379.3964538574219,380.9597725823962,361.5649176725955,361.5649176725955,3350792
2017-12-08,380.3735046386719,386.7244624030636,376.7583619557888,381.0574658635048,2494845
2017-12-11,372.06842041015625,383.2558891394443,370.3585470997827,378.12626920832366,1029719
2017-12-12,374.9996032714844,378.1262404425828,368.40437814748583,372.16610510770124,2564559
2017-12-13,372.06842041015625,380.3246777502325,369.8211702722235,377.5888923807645,747787
2017-12-14,375.4881591796875,377.14919085930615,368.3555568755399,374.0714249285527,1261422
2017-12-15,373.9781188964844,383.1461780213423,372.7034282903414,380.44969180366166,1698848
2017-12-18,370.1050109863281,375.84114877539145,365.00618859191604,372.60537720598546,1399027
2017-12-19,367.6046142578125,373.5369020239077,365.006188010914,370.6442956833459,1641589
2017-12-20,367.8497619628906,370.350158187859,364.2707951287388,370.1050230632771,2251770
2017-12-21,368.7322692871094,374.37037756320416,367.7027136583554,371.8700110798167,1448962
2017-12-22,367.26141357421875,372.99758119140347,366.91824835569815,368.9283443086895,775946
