Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2015-01-01,2197.227783203125,2207.5580920897773,2181.3787172797383,2201.190136054903,112464
2015-01-02,2192.0625,2206.8502378836324,2186.720458623796,2204.020035590739,187675
2015-01-05,2207.13330078125,2226.5909425301907,2192.062611001913,2196.237090498583,160068
2015-01-06,2132.83984375,2191.9911259285873,2123.358737544122,2191.9911259285873,457760
2015-01-07,2104.290771484375,2138.2177861907553,2099.0902057865483,2132.557381726981,378882
2015-01-08,2111.330810546875,2122.4393194722306,2088.512305640663,2107.08550730851,513335
2015-01-09,2117.16796875,2130.4345405317904,2098.771655879251,2121.8378711139185,365342
2015-01-12,2078.18212890625,2114.161145202977,2068.877907822458,2114.161145202977,396343
2015-01-13,2047.0853271484375,2096.1540295348445,2043.0877354220074,2087.981785693099,387266
2015-01-14,2054.054931640625,2069.3733339866917,2039.8685066798598,2058.264823424111,503348
2015-01-15,2087.663330078125,2101.425153860596,2072.16786923789,2080.1986371549333,548030
2015-01-16,2050.269287109375,2101.4252287412423,2045.741032480878,2087.5571682359778,441344
2015-01-19,2010.363525390625,2066.0477222607215,2006.613472716235,2051.9321225422746,494968
2015-01-20,2001.4129638671875,2029.255149467252,1979.1605317311971,2023.5947445872876,620515
2015-01-21,2034.3138427734375,2047.6512393969947,2005.1273833314451,2005.1273833314451,502824
2015-01-22,2008.6295166015625,2058.2641079280666,1989.3487682546943,2051.860742277353,616241
2015-01-23,2025.5758056640625,2048.783498900636,2017.226674392499,2030.670135217984,616170
2015-01-27,2022.0025634765625,2030.4223458382746,1997.4151821168175,2023.5945521976969,563105
2015-01-28,2027.203369140625,2048.712839090107,2009.8329667111761,2023.5947918486295,415685
2015-01-29,2035.26904296875,2051.0120418236274,2021.4718080172845,2023.594459548279,544345
2015-01-30,2027.4857177734375,2077.969509069821,2021.7544903050666,2043.0872390001798,447643
